name,position,now_cost,predicted_rating
Pierre-Emerick Aubameyang,FWD,96,16
Alexandre Lacazette,FWD,81,33
Edward Nketiah,FWD,57,19
Folarin Balogun,FWD,47,0
Mika Biereth,FWD,45,0
Ollie Watkins,FWD,75,48
Wesley Moraes,FWD,54,0
Mbwana Ally Samatta,FWD,55,0
Keinan Davis,FWD,45,0
Danny Ings,FWD,77,36
Cameron Archer,FWD,45,0
Ivan Toney,FWD,69,52
Marcus Forss,FWD,53,3
Halil Dervişoğlu,FWD,54,0
Nathan Young-Coombes,FWD,45,0
Neal Maupay,FWD,62,34
Aaron Connolly,FWD,53,2
Danny Welbeck,FWD,60,30
Florin Andone,FWD,50,0
Andi Zeqiri,FWD,45,0
Jürgen Locadia,FWD,44,0
Evan Ferguson,FWD,45,0
Jay Rodriguez,FWD,51,19
Ashley Barnes,FWD,52,9
Matej Vydra,FWD,52,15
Lewis Richardson,FWD,44,0
Wout Weghorst,FWD,62,16
Joseph McGlynn,FWD,45,0
Olivier Giroud,FWD,65,0
Michy Batshuayi,FWD,55,0
Timo Werner,FWD,85,20
Tammy Abraham,FWD,65,0
Romelu Lukaku,FWD,114,34
Christian Benteke,FWD,59,19
Jordan Ayew,FWD,58,28
Jean-Philippe Mateta,FWD,53,20
Robert Street,FWD,45,0
Odsonne Edouard,FWD,60,32
Dominic Calvert-Lewin,FWD,77,21
Richarlison de Andrade,FWD,76,47
Nathan Broadhead,FWD,45,0
Moise Kean,FWD,60,0
Salomón Rondón,FWD,60,10
Ellis Simms,FWD,45,0
Lewis Dobbin,FWD,45,0
Cenk Tosun,FWD,50,0
Jamie Vardy,FWD,103,46
Kelechi Iheanacho,FWD,70,27
Patson Daka,FWD,70,24
Rodrigo Moreno,FWD,63,32
Patrick Bamford,FWD,77,10
Sam Greenwood,FWD,46,3
Joe Gelhardt,FWD,47,15
Roberto Firmino,FWD,87,25
Divock Origi,FWD,48,7
Gabriel Fernando de Jesus,FWD,86,46
Kayky da Silva Chagas,FWD,50,0
Liam Delap,FWD,45,0
Edinson Cavani,FWD,84,12
Anthony Martial,FWD,76,3
Cristiano Ronaldo dos Santos Aveiro,FWD,122,63
Chris Wood,FWD,63,31
Callum Wilson,FWD,71,27
Dwight Gayle,FWD,52,2
Allan Saint-Maximin,FWD,67,44
Joelinton Cássio Apolinário de Lira,FWD,59,34
Teemu Pukki,FWD,61,43
Jordan Hugill,FWD,54,0
Adam Idah,FWD,48,12
Joshua Sargent,FWD,54,20
Thomas Dickson-Peters,FWD,45,0
Abu Kamara,FWD,45,0
Daniel N'Lundulu,FWD,45,0
Che Adams,FWD,65,35
Michael Obafemi,FWD,45,0
Armando Broja,FWD,53,32
Shane Long,FWD,54,5
Adam Armstrong,FWD,57,17
Harry Kane,FWD,125,73
Dane Scarlett,FWD,45,0
Troy Deeney,FWD,54,0
Andre Gray,FWD,54,0
Stipe Perica,FWD,45,0
Isaac Success Ajayi,FWD,50,0
Ashley Fletcher,FWD,48,0
João Pedro Junqueira de Jesus,FWD,54,21
Emmanuel Dennis,FWD,58,49
Joshua King,FWD,56,32
Adedapo Awokoya-Mebude,FWD,45,0
Juan Camilo Hernández Suárez,FWD,49,25
Shaqai Forde,FWD,45,0
Tiago Çukur,FWD,45,0
Jack Grieves,FWD,45,0
Michail Antonio,FWD,73,51
Raúl Jiménez,FWD,75,36
Fabio Silva,FWD,56,7
Patrick Cutrone,FWD,50,0
Hee-Chan Hwang,FWD,54,28
Willian Borges Da Silva,MID,63,0
Granit Xhaka,MID,48,27
Mohamed Naser El Sayed Elneny,MID,44,12
Ainsley Maitland-Niles,MID,52,4
Thomas Partey,MID,50,28
Nicolas Pépé,MID,69,17
Lucas Torreira,MID,45,0
Emile Smith Rowe,MID,57,46
Bukayo Saka,MID,67,67
Mattéo Guendouzi,MID,45,0
Gabriel Teodoro Martinelli Silva,MID,53,40
Albert Sambi Lokonga,MID,48,13
Reiss Nelson,MID,50,0
Martin Ødegaard,MID,56,52
Charlie Patino,MID,45,0
Omari Hutchinson,MID,45,0
Salah-Eddine Oulad M'hand,MID,45,0
Marcelo Flores,MID,45,0
Miguel Azeez,MID,45,0
Conor Hourihane,MID,49,0
Bertrand Traoré,MID,57,5
Morgan Sanson,MID,50,5
John McGinn,MID,56,42
Mahmoud Ahmed Ibrahim Hassan,MID,54,0
Marvelous Nakamba,MID,44,9
Emiliano Buendía Stati,MID,61,40
Douglas Luiz Soares de Paulo,MID,43,34
Jacob Ramsey,MID,47,40
Leon Bailey,MID,63,14
Aaron Ramsey,MID,44,0
Jaden Philogene-Bidace,MID,50,0
Carney Chukwuemeka,MID,45,5
Tim Iroegbunam,MID,45,2
Philippe Coutinho Correia,MID,71,30
Benjamin Chrisene,MID,45,0
Tommi O'Reilly,MID,45,0
Christian Nørgaard,MID,50,41
Tariqe Fosu-Henry,MID,51,0
Sergi Canós,MID,55,30
Pelenda Joshua Dasilva,MID,53,3
Vitaly Janelt,MID,49,33
Saman Ghoddos,MID,52,12
Mathias Jensen,MID,49,20
Jan Zamburek,MID,44,0
Bryan Mbeumo,MID,52,44
Mads Bidstrup,MID,44,2
Frank Onyeka,MID,49,11
Shandon Baptiste,MID,49,12
Yoane Wissa,MID,57,31
Paris Maghoma,MID,45,0
Maxwell Haygarth,MID,45,0
Myles Peart-Harris,MID,45,0
Christian Eriksen,MID,56,18
Adam Lallana,MID,53,17
Pascal Groß,MID,56,35
Davy Pröpper,MID,45,0
Solomon March,MID,53,21
Leandro Trossard,MID,59,54
Alireza Jahanbakhsh,MID,55,0
Yves Bissouma,MID,44,24
Steven Alzate,MID,48,6
Alexis Mac Allister,MID,51,36
Jakub Moder,MID,45,21
Enock Mwepu,MID,59,18
Taylor Richards,MID,45,0
Moisés Caicedo,MID,45,11
Jeremy Sarmiento,MID,45,2
Marc Leonard,MID,45,0
Jack Cork,MID,44,12
Dale Stephens,MID,44,2
Ashley Westwood,MID,52,22
Johann Berg Gudmundsson,MID,54,12
Josh Brownhill,MID,43,35
Josh Benson,MID,45,0
Dwight McNeil,MID,55,36
Aaron Lennon,MID,46,18
Maxwel Cornet,MID,58,33
Dara Costelloe,MID,45,0
Anthony Mancini,MID,45,0
Jorge Luiz Frello Filho,MID,57,40
Ross Barkley,MID,52,5
Mateo Kovacic,MID,49,28
N'Golo Kanté,MID,49,29
Hakim Ziyech,MID,73,31
Ruben Loftus-Cheek,MID,54,19
Christian Pulisic,MID,79,28
Mason Mount,MID,77,62
Callum Hudson-Odoi,MID,53,18
Kai Havertz,MID,79,41
Saúl Ñíguez,MID,49,6
Lewis Hall,MID,45,0
Harvey Vale,MID,45,0
Conor Gallagher,MID,60,52
James McArthur,MID,43,21
Luka Milivojevic,MID,52,8
Wilfried Zaha,MID,69,57
Jeffrey Schlupp,MID,54,32
Jairo Riedewald,MID,47,2
Eberechi Eze,MID,59,12
Will Hughes,MID,47,12
Michael Olise,MID,53,24
Jesurun Rak-Sakyi,MID,44,2
Scott Banks,MID,45,0
Anwar El Ghazi,MID,56,7
Fabian Delph,MID,42,7
Gylfi Sigurdsson,MID,67,0
James Rodríguez,MID,69,0
Bernard Anício Caldeira Duarte,MID,55,0
Allan Marques Loureiro,MID,43,22
André Filipe Tavares Gomes,MID,49,7
Abdoulaye Doucouré,MID,53,34
Alex Iwobi,MID,58,29
Tom Davies,MID,48,5
Donny van de Beek,MID,57,11
Bamidele Alli,MID,62,12
Andros Townsend,MID,52,25
Demarai Gray,MID,54,41
Anthony Gordon,MID,47,38
Jean-Philippe Gbamin,MID,44,2
Charlie Whitaker,MID,45,0
Tyler Onyango,MID,45,1
Isaac Price,MID,45,0
Marc Albrighton,MID,52,13
Nampalys Mendy,MID,43,9
Dennis Praet,MID,49,0
Youri Tielemans,MID,64,46
Ayoze Pérez,MID,57,12
James Maddison,MID,69,59
Hamza Choudhury,MID,44,4
Harvey Barnes,MID,65,51
Wilfred Ndidi,MID,48,18
Boubakary Soumaré,MID,48,12
Kiernan Dewsbury-Hall,MID,44,27
Ademola Lookman,MID,59,31
Lewis Brunt,MID,45,0
Kasey McAteer,MID,45,0
Pablo Hernández Domínguez,MID,55,0
Mateusz Klich,MID,51,25
Stuart Dallas,MID,49,32
Kalvin Phillips,MID,47,14
Hélder Wander Sousa de Azevedo e Costa,MID,54,0
Tyler Roberts,MID,48,14
Ian Carlo Poveda-Ocampo,MID,45,0
Raphael Dias Belloli,MID,63,55
Jamie Shackleton,MID,44,9
Jack Harrison,MID,55,45
Daniel James,MID,60,34
Crysencio Summerville,MID,45,2
Adam Forshaw,MID,45,14
Liam McCarron,MID,44,0
Nohan Kenneh,MID,44,0
Stuart McKinstry,MID,43,0
Lewis Bate,MID,45,0
Jack Jenkins,MID,45,0
Archie Gray,MID,45,0
James Milner,MID,49,14
Jordan Henderson,MID,49,40
Thiago Alcántara do Nascimento,MID,53,27
Xherdan Shaqiri,MID,59,0
Alex Oxlade-Chamberlain,MID,58,15
Sadio Mané,MID,118,69
Fabio Henrique Tavares,MID,54,36
Mohamed Salah,MID,131,97
Takumi Minamino,MID,51,10
Naby Keita,MID,50,22
Diogo Jota,MID,83,67
Curtis Jones,MID,50,14
Harvey Elliott,MID,53,6
Ben Woodburn,MID,45,0
Tyler Morton,MID,45,0
Kaide Gordon,MID,45,0
Luis Díaz,MID,81,24
Jack Grealish,MID,75,37
Ilkay Gündogan,MID,71,46
Kevin De Bruyne,MID,121,75
Riyad Mahrez,MID,86,52
Raheem Sterling,MID,105,61
Bernardo Mota Veiga de Carvalho e Silva,MID,70,57
Phil Foden,MID,79,53
Rodrigo Hernandez,MID,55,48
Ferran Torres,MID,67,9
Fernando Luiz Rosa,MID,47,16
Cole Palmer,MID,45,3
Samuel Edozie,MID,47,0
Tommy Doyle,MID,45,0
Romeo Lavia,MID,44,0
James McAtee,MID,44,0
Nemanja Matic,MID,43,19
Paul Pogba,MID,74,25
Frederico Rodrigues de Paula Santos,MID,49,35
Jesse Lingard,MID,67,11
Bruno Miguel Borges Fernandes,MID,116,66
Marcus Rashford,MID,94,20
Scott McTominay,MID,54,26
Mason Greenwood,MID,71,25
Juan Mata,MID,47,5
Jadon Sancho,MID,89,34
Andreas Pereira,MID,50,0
Anthony Elanga,MID,48,18
Amad Diallo,MID,50,0
Hannibal Mejbri,MID,45,0
Alejandro Garnacho Ferreyra,MID,45,0
Shola Shoretire,MID,45,0
Charlie Savage,MID,45,0
Joseph Willock,MID,53,29
Jonjo Shelvey,MID,53,23
Jeff Hendrick,MID,48,3
Ryan Fraser,MID,51,24
Jacob Murphy,MID,46,20
Isaac Hayden,MID,45,11
Miguel Almirón,MID,50,19
Sean Longstaff,MID,43,16
Matthew Longstaff,MID,45,0
Joe White,MID,44,0
Elliot Anderson,MID,45,0
Bruno Guimarães Rodriguez Moura,MID,50,26
Lucas De Bolle,MID,44,0
Billy Gilmour,MID,43,19
Marco Stiepermann,MID,50,0
Lukas Rupp,MID,44,9
Kenny McLean,MID,49,26
Onel Hernández,MID,49,0
Kieran Dowell,MID,51,12
Todd Cantwell,MID,53,4
Przemyslaw Placheta,MID,47,7
Josh Martin,MID,50,0
Milot Rashica,MID,52,25
Pierre Lees-Melou,MID,48,26
Christos Tzolis,MID,48,7
Mathias Normann,MID,45,18
Jonathan Rowe,MID,44,5
Liam Gibbs,MID,45,0
Tony Springett,MID,45,2
Theo Walcott,MID,58,3
Oriol Romeu Vidal,MID,45,35
Nathan Redmond,MID,59,28
Stuart Armstrong,MID,58,21
James Ward-Prowse,MID,64,59
Nathan Tella,MID,47,10
William Smallbone,MID,45,3
Ibrahima Diallo,MID,45,13
Moussa Djenepo,MID,52,5
Mohamed Elyounoussi,MID,54,34
Kgaogelo Chauke,MID,45,0
Tyler Dibling,MID,45,0
Erik Lamela,MID,60,0
Heung-Min Son,MID,112,89
Lucas Rodrigues Moura da Silva,MID,59,33
Pierre-Emile Højbjerg,MID,48,40
Harry Winks,MID,44,12
Steven Bergwijn,MID,59,18
Giovani Lo Celso,MID,59,5
Oliver Skipp,MID,44,12
Tanguy Ndombele,MID,57,9
Bryan Gil Salvatierra,MID,57,3
Dilan Markanday,MID,45,0
Harvey White,MID,44,0
Dejan Kulusevski,MID,63,33
Rodrigo Bentancur,MID,49,19
Alfie Devine,MID,45,0
Jamie Bowden,MID,45,0
Matthew Craig,MID,45,0
Moussa Sissoko,MID,43,33
Dan Gosling,MID,47,4
Tom Cleverley,MID,48,16
Nathaniel Chalobah,MID,50,0
Ken Sema,MID,52,8
Philip Zinckernagel,MID,55,0
Ayotomiwa Dele-Bashiru,MID,45,0
Domingos Quina,MID,45,0
Ismaila Sarr,MID,57,30
Joseph Hungbo,MID,45,0
Imrân Louza,MID,52,13
Kwadwo Baah,MID,43,0
Oghenekaro Peter Etebo,MID,43,4
Juraj Kucka,MID,55,20
Ozan Tufan,MID,50,3
Kamil Conteh,MID,45,0
Edo Kayembe,MID,45,9
Samuel Kalu,MID,49,3
Adrian Blake,MID,45,0
Mark Noble,MID,43,7
Andriy Yarmolenko,MID,50,9
Manuel Lanzini,MID,56,33
Saïd Benrahma,MID,59,47
Jarrod Bowen,MID,69,72
Declan Rice,MID,50,37
Tomas Soucek,MID,57,42
Pablo Fornals,MID,59,47
Conor Coventry,MID,45,0
Nikola Vlasic,MID,56,10
Alex Kral,MID,44,0
Sonny Perkins,MID,45,0
Armstrong Oko-Flex,MID,44,0
Daniel Chesters,MID,45,0
João Filipe Iria Santos Moutinho,MID,49,35
Leander Dendoncker,MID,46,25
Adama Traoré,MID,56,17
