name,position,now_cost,predicted_rating
Alexandre Lacazette,FWD,84,46
Edward Nketiah,FWD,53,12
Wesley Moraes,FWD,60,1
Mbwana Samatta,FWD,59,0
Keinan Davis,FWD,42,9
Indiana Vassilev,FWD,43,0
Ollie Watkins,FWD,63,64
Glenn Murray,FWD,48,0
Florin Andone,FWD,48,0
Neal Maupay,FWD,58,38
Aaron Connolly,FWD,52,12
Andi Zeqiri,FWD,50,2
Danny Welbeck,FWD,55,31
Jay Rodriguez,FWD,57,16
Ashley Barnes,FWD,60,15
Chris Wood,FWD,66,46
Matej Vydra,FWD,48,19
Max Thompson,FWD,45,0
Lewis Richardson,FWD,45,0
Joel Mumbongo,FWD,45,0
Olivier Giroud,FWD,67,15
Timo Werner,FWD,92,47
Tammy Abraham,FWD,71,26
Michy Batshuayi,FWD,57,13
Christian Benteke,FWD,55,39
Connor Wickham,FWD,44,0
Jordan Ayew,FWD,56,24
Jean-Philippe Mateta,FWD,53,3
Cenk Tosun,FWD,60,2
Dominic Calvert-Lewin,FWD,75,60
Richarlison de Andrade,FWD,77,46
Moise Kean,FWD,57,0
Ellis Simms,FWD,45,0
Joshua King,FWD,50,2
Bobby Decordova-Reid,FWD,53,31
Aleksandar Mitrović,FWD,55,21
Josh Maja,FWD,50,13
Jamie Vardy,FWD,102,66
Kelechi Iheanacho,FWD,62,41
Islam Slimani,FWD,49,0
Patrick Bamford,FWD,66,70
Rodrigo Moreno,FWD,57,33
Niall Huggins,FWD,45,0
Joe Gelhardt,FWD,45,0
Sam Greenwood,FWD,45,0
Roberto Firmino,FWD,91,57
Divock Origi,FWD,51,3
Sergio Agüero,FWD,103,15
Gabriel Fernando de Jesus,FWD,91,43
Liam Delap,FWD,42,0
Odion Ighalo,FWD,61,0
Anthony Martial,FWD,86,29
Edinson Cavani,FWD,80,35
Andy Carroll,FWD,51,8
Dwight Gayle,FWD,59,10
Joelinton Cássio Apolinário de Lira,FWD,57,30
Yoshinori Muto,FWD,48,0
Callum Wilson,FWD,65,41
Rhian Brewster,FWD,42,10
Billy Sharp,FWD,55,12
David McGoldrick,FWD,52,37
Oliver McBurnie,FWD,56,14
Lys Mousset,FWD,58,2
Antwoine Hackford,FWD,44,0
Daniel Jebbison,FWD,45,3
William Osula,FWD,45,0
Shane Long,FWD,51,2
Danny Ings,FWD,84,47
Che Adams,FWD,57,49
Michael Obafemi,FWD,46,1
Daniel N'Lundulu,FWD,45,2
Harry Kane,FWD,119,87
Carlos Vinicius Alves Morais,FWD,69,4
Dane Scarlett,FWD,45,0
Callum Robinson,FWD,52,27
Hal Robson-Kanu,FWD,52,8
Charlie Austin,FWD,51,2
Kenneth Zohore,FWD,48,0
Karlan Grant,FWD,56,12
Cheikh Diaby,FWD,45,0
Mbaye Diagne,FWD,60,16
Michail Antonio,FWD,67,42
Sébastien Haller,FWD,61,14
Jordan Hugill,FWD,55,0
Albian Ajeti,FWD,55,0
Ademipo Odubeko,FWD,45,0
Raúl Jiménez,FWD,81,15
Léo Bonatini,FWD,48,0
Leonardo Campana,FWD,47,0
Fabio Silva,FWD,52,23
Patrick Cutrone,FWD,59,0
Willian José Da Silva,FWD,68,13
Mesut Özil,MID,67,0
Pierre-Emerick Aubameyang,MID,113,46
Granit Xhaka,MID,52,26
Nicolas Pépé,MID,77,41
Lucas Torreira,MID,47,0
Reiss Nelson,MID,51,0
Emile Smith Rowe,MID,42,24
Bukayo Saka,MID,51,44
Matteo Guendouzi,MID,47,0
Gabriel Teodoro Martinelli Silva,MID,49,15
Willian Borges Da Silva,MID,75,23
Daniel Ceballos Fernández,MID,47,24
Mohamed Naser El Sayed Elneny,MID,42,17
Thomas Partey,MID,49,18
Martin Ødegaard,MID,56,15
Miguel Azeez,MID,45,0
Henri Lansbury,MID,43,0
Conor Hourihane,MID,59,7
José Ignacio Peleteiro Romallo,MID,59,0
Jack Grealish,MID,75,52
John McGinn,MID,55,43
Mahmoud Ahmed Ibrahim Hassan,MID,52,19
Marvelous Nakamba,MID,43,9
Anwar El Ghazi,MID,52,42
Douglas Luiz Soares de Paulo,MID,48,28
Ross Barkley,MID,58,28
Bertrand Traoré,MID,58,51
Jacob Ramsey,MID,45,9
Morgan Sanson,MID,55,3
Kaine Hayden,MID,45,0
Carney Chukwuemeka,MID,45,1
Jaden Philogene-Bidace,MID,44,0
Adam Lallana,MID,62,22
Pascal Groß,MID,58,46
Davy Pröpper,MID,47,4
Aaron Mooy,MID,50,0
Solomon March,MID,49,27
Leandro Trossard,MID,55,49
Alireza Jahanbakhsh,MID,54,10
José Izquierdo,MID,55,0
Yves Bissouma,MID,44,29
Steven Alzate,MID,41,12
Alexis Mac Allister,MID,53,16
Jayson Molumby,MID,45,0
Percy Tau,MID,49,3
Jakub Moder,MID,50,8
Reda Khadra,MID,45,0
Teddy Jenks,MID,45,0
Max Sanders,MID,45,0
Jensen Weir,MID,45,0
Moisés Caicedo,MID,50,0
Dale Stephens,MID,42,3
Jack Cork,MID,50,12
Ashley Westwood,MID,53,43
Johann Berg Gudmundsson,MID,54,15
Robbie Brady,MID,50,14
Josh Brownhill,MID,49,29
Dwight McNeil,MID,57,42
Josh Benson,MID,44,3
Mace Goodridge,MID,45,0
Anthony Mancini,MID,44,0
Jorge Luiz Frello Filho,MID,47,40
Mateo Kovacic,MID,53,22
N'Golo Kanté,MID,49,26
Hakim Ziyech,MID,79,25
Christian Pulisic,MID,83,34
Mason Mount,MID,73,57
Callum Hudson-Odoi,MID,57,22
Billy Gilmour,MID,43,3
Kai Havertz,MID,83,32
Faustino Anjorin,MID,45,0
James McArthur,MID,52,17
James McCarthy,MID,43,9
Cheikhou Kouyaté,MID,48,30
Andros Townsend,MID,55,35
Luka Milivojevic,MID,56,24
Wilfried Zaha,MID,71,51
Jeffrey Schlupp,MID,53,24
Max Meyer,MID,47,0
Jairo Riedewald,MID,44,20
Brandon Pierrick,MID,43,0
Eberechi Eze,MID,58,42
Jesurun Rak-Sakyi,MID,45,0
Fabian Delph,MID,48,4
Gylfi Sigurdsson,MID,68,45
Bernard Anício Caldeira Duarte,MID,57,8
André Filipe Tavares Gomes,MID,53,16
Alex Iwobi,MID,59,21
Jean-Philippe Gbamin,MID,50,0
Tom Davies,MID,52,16
Anthony Gordon,MID,43,2
Allan Marques Loureiro,MID,52,19
James Rodríguez,MID,77,39
Abdoulaye Doucouré,MID,51,31
Tyler Onyango,MID,45,0
Nathan Broadhead,MID,45,0
Isaac Price,MID,45,0
Ruben Loftus-Cheek,MID,59,21
Kevin McDonald,MID,47,0
Stefan Johansen,MID,47,0
Tom Cairney,MID,52,12
Anthony Knockaert,MID,50,0
Neeskens Kebano,MID,47,2
Ivan Ricardo Neves Abreu Cavaleiro,MID,53,32
Josh Onomah,MID,46,5
Jean Michaël Seri,MID,46,0
Aboubakar Kamara,MID,48,3
André-Frank Zambo Anguissa,MID,44,30
Harrison Reed,MID,44,26
Mario Lemina,MID,45,19
Ademola Lookman,MID,47,43
Fabio Carvalho,MID,45,6
Sylvester Jasper,MID,45,0
Tyrese Francois,MID,45,0
Adrien Silva,MID,44,0
Marc Albrighton,MID,52,29
Matty James,MID,43,0
Dennis Praet,MID,52,13
Youri Tielemans,MID,64,53
Ayoze Pérez,MID,60,21
Demarai Gray,MID,51,0
James Maddison,MID,72,51
Hamza Choudhury,MID,46,5
Harvey Barnes,MID,66,45
Wilfred Ndidi,MID,48,29
Nampalys Mendy,MID,42,15
Cengiz Ünder,MID,57,7
